Restaurant_Name,City,Restaurant_Type,Cuisines,Cost_for_two,Rating_out_of_5,Customer_rated,Service_Category,Online_Order,Book_Table
Jalsa,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,4.1,775,Buffet,Yes,Yes
Spice Elephant,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,4.1,787,Buffet,Yes,No
San Churro Cafe,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,3.8,918,Buffet,Yes,No
Addhuri Udupi Bhojana,Banashankari,Quick Bites,"South Indian, North Indian",300.0,3.7,88,Buffet,No,No
Grand Village,Banashankari,Casual Dining,"North Indian, Rajasthani",600.0,3.8,166,Buffet,No,No
Timepass Dinner,Banashankari,Casual Dining,North Indian,600.0,3.8,286,Buffet,Yes,No
Rosewood International Hotel - Bar & Restaurant,Banashankari,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,3.6,8,Buffet,No,No
Onesta,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,4.6,2556,Cafes,Yes,Yes
Penthouse Cafe,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,4.0,324,Cafes,Yes,No
Smacznego,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,4.2,504,Cafes,Yes,No
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,Cafe,500.0,4.1,402,Cafes,Yes,No
Cafe Shuffle,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,4.2,150,Cafes,Yes,Yes
The Coffee Shack,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,4.2,164,Cafes,Yes,Yes
Caf-Eleven,Banashankari,Cafe,"Cafe, Continental",450.0,4.0,424,Cafes,No,No
San Churro Cafe,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,3.8,918,Cafes,Yes,No
Cafe Vivacity,Banashankari,Cafe,Cafe,650.0,3.8,90,Cafes,Yes,No
Catch-up-ino,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,3.9,133,Cafes,Yes,No
Kirthi's Biryani,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,3.8,144,Cafes,Yes,No
T3H Cafe,Banashankari,Cafe,"Cafe, Italian, American",300.0,3.9,93,Cafes,No,No
360 Atoms Restaurant And Cafe,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,3.1,13,Cafes,Yes,No
The Vintage Cafe,Banashankari,Cafe,"Cafe, French, North Indian",400.0,3.0,62,Cafes,Yes,No
Woodee Pizza,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,3.7,180,Cafes,Yes,No
Cafe Coffee Day,Banashankari,Cafe,"Cafe, Fast Food",900.0,3.6,28,Cafes,No,No
My Tea House,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,3.6,62,Cafes,Yes,No
Hide Out Cafe,Banashankari,Cafe,Cafe,300.0,3.7,31,Cafes,No,No
CAFE NOVA,Banashankari,Cafe,"Cafe, Bakery",600.0,3.2,11,Cafes,No,No
Coffee Tindi,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,3.8,75,Cafes,Yes,No
Sea Green Cafe,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,3.3,4,Cafes,No,No
Cuppa,Banashankari,Cafe,"Cafe, Fast Food",550.0,3.3,23,Cafes,No,No
Srinathji's Cafe,Banashankari,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,3.8,148,Cafes,No,No
Redberrys,Banashankari,Cafe,"Cafe, Italian",600.0,4.0,219,Cafes,Yes,No
Foodiction,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,2.8,506,Delivery,Yes,No
Sweet Truth,Banashankari,Delivery,"Bakery, Desserts",500.0,3.9,35,Delivery,Yes,No
Ovenstory Pizza,Banashankari,Delivery,Pizza,750.0,3.9,172,Delivery,Yes,No
Faasos,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,4.2,415,Delivery,Yes,No
Behrouz Biryani,Banashankari,Delivery,Biryani,650.0,3.9,230,Delivery,Yes,No
Fast And Fresh,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,2.8,91,Delivery,Yes,No
Szechuan Dragon,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,4.2,1647,Delivery,Yes,No
Empire Restaurant,Banashankari,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,4.4,4884,Delivery,Yes,No
Maruthi Davangere Benne Dosa,Banashankari,Quick Bites,South Indian,150.0,4.0,17,Delivery,Yes,No
Chaatimes,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,3.8,133,Delivery,Yes,No
Havyaka Mess,Banashankari,Mess,South Indian,300.0,3.9,28,Delivery,No,No
McDonald's,Banashankari,Quick Bites,"Burger, Fast Food",500.0,3.9,286,Delivery,Yes,No
Domino's Pizza,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,3.9,540,Delivery,Yes,No
Onesta,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,4.6,2556,Delivery,Yes,Yes
Hotboxit,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,3.8,36,Delivery,No,No
Kitchen Garden,Banashankari,Quick Bites,"North Indian, Chinese",300.0,3.6,244,Delivery,Yes,No
Recipe,Banashankari,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,4.0,804,Delivery,Yes,No
Beijing Bites,Banashankari,Casual Dining,"Chinese, Thai",850.0,3.7,679,Delivery,Yes,No
Tasty Bytes,Banashankari,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,3.1,245,Delivery,Yes,No
Petoo,Banashankari,Quick Bites,North Indian,450.0,3.7,21,Delivery,No,No
Shree Cool Point,Banashankari,Quick Bites,"Fast Food, Street Food, Beverages",150.0,4.1,28,Delivery,Yes,No
Corner House Ice Cream,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,4.3,345,Delivery,No,No
Biryanis And More,Banashankari,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,4.0,618,Delivery,Yes,No
Roving Feast,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,4.0,1047,Delivery,No,No
FreshMenu,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,3.9,627,Delivery,Yes,No
Banashankari Donne Biriyani,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,3.8,104,Delivery,Yes,No
Wamama,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,4.2,354,Delivery,Yes,Yes
Five Star Chicken,Banashankari,Quick Bites,"Fast Food, Burger",200.0,3.6,55,Delivery,No,No
XO Belgian Waffle,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,3.7,17,Delivery,Yes,No
Peppy Peppers,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,4.2,244,Delivery,No,No
Goa 0 Km,Banashankari,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,3.6,163,Delivery,Yes,Yes
Chinese Kitchen,Banashankari,Quick Bites,Chinese,150.0,3.8,58,Delivery,Yes,No
1947,Banashankari,Casual Dining,"North Indian, Chinese",850.0,4.0,808,Delivery,No,Yes
Cake of the Day,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,3.7,78,Delivery,No,No
Kabab Magic,Banashankari,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,4.1,1720,Delivery,Yes,No
Namma Brahmin's Idli,Banashankari,Quick Bites,South Indian,100.0,3.6,34,Delivery,Yes,No
Gustoes Beer House,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,4.1,868,Delivery,No,No
Sugar Rush,Banashankari,Bakery,"Bakery, Desserts",300.0,3.8,39,Delivery,No,No
Burger King,Banashankari,Quick Bites,"Burger, Fast Food, Beverages",600.0,3.2,71,Delivery,Yes,No
The Good Bowl,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,3.6,6,Delivery,Yes,No
The Biryani Cafe,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,4.1,520,Delivery,No,No
Spicy Tandoor,Banashankari,Quick Bites,North Indian,150.0,3.4,0,Delivery,No,No
LSD Cafe,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,2.9,84,Delivery,No,No
Rolls On Wheels,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,3.6,299,Delivery,No,No
Om Sri Vinayaka Chats,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500.0,3.7,0,Delivery,No,No
Sri Guru Kottureshwara Davangere Benne Dosa,Banashankari,Quick Bites,South Indian,150.0,4.1,558,Delivery,Yes,No
Devanna Dum Biriyani Centre,Banashankari,Quick Bites,"Biryani, South Indian",300.0,3.6,28,Delivery,Yes,No
Kolbeh,Banashankari,Quick Bites,Fast Food,500.0,3.7,22,Delivery,No,No
Upahar Sagar,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,3.8,39,Delivery,No,No
Kadalu Sea Food Restaurant,Banashankari,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,3.8,153,Delivery,Yes,No
Frozen Bottle,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,4.2,146,Delivery,Yes,No
Parimala Sweets,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,3.5,14,Delivery,No,No
Vaishali Deluxe,Banashankari,Casual Dining,"North Indian, Chinese",700.0,3.8,42,Delivery,No,No
Chill Out,Banashankari,Quick Bites,"South Indian, Chinese",100.0,4.0,0,Delivery,No,No
The Big O Bakes,Banashankari,Bakery,"Bakery, Desserts",300.0,4.0,66,Delivery,No,No
Meghana Foods,Banashankari,Casual Dining,"Biryani, North Indian, Chinese",600.0,4.4,4401,Delivery,Yes,No
Krishna Sagar,Banashankari,Quick Bites,North Indian,200.0,3.5,31,Delivery,No,No
Dessert Rose,Banashankari,Dessert Parlor,Desserts,500.0,3.5,7,Delivery,No,No
Chickpet Donne Biryani House,Banashankari,Quick Bites,Biryani,250.0,3.7,21,Delivery,No,No
Me And My Cake,Banashankari,Delivery,"Bakery, Desserts",500.0,3.9,0,Delivery,No,No
Sunsadm,Banashankari,"Takeaway, Delivery",South Indian,400.0,3.7,0,Delivery,No,No
Annapooraneshwari Mess,Banashankari,Mess,South Indian,200.0,3.9,0,Delivery,No,No
Thanco's Natural Ice Creams,Banashankari,Dessert Parlor,Ice Cream,300.0,3.2,9,Delivery,No,No
Nandhini Deluxe,Banashankari,Casual Dining,North Indian,600.0,2.6,283,Delivery,No,No
